Designator,Value,Description,Comment,Footprint,Quantity,Supplier 1,Supplier Part Number 1,Supplier 2,Supplier Part Number 2

"U1","PAM2306AYPKE","DUAL HIGH-EFFICIENCY PWM STEP-DOWN DC-DC CONVERTER","PAM2306AYPKE","WDFN12L","1","Mouser","621-PAM2306AYPKE","",""
"C1, C3, C8","47uF","Capacitor","47uF","CAP0805","3","Farnell","2362109RL","",""
"C2, C4, C6, C7, C22","10uF","Capacitor, Capacitor, Capacitor, Capacitor, Multilayer ceramic capacitor","10uF","CAP0805","5","Farnell","1657936RL, 1657936RL, 1657936RL, 1657936RL, 2497048RL","",""
"C20","220uF/50V","Multilayer ceramic capacitor","220uF/50V","1206","1","Farnell","1845762","",""
"C21","1uF","Capacitor","Cap2","CAP0805","1","Farnell","1759422","",""
"C23, C24, C25, C26","20pF","Capacitor","20pF","CAP0603","4","Farnell","2456108","",""
"C42, C43","33pF","Capacitor","33pF","CAP0603","2","Farnell","7568363","",""
"C9, C14","1uF","Capacitor","1uF","CAP0805","2","Farnell","1759422","",""
"CON1","DDR2 SODIMM","DDR2 SODIMM connector for Raspberry Pi compute module 1/3/3-Lite","DDR2 SODIMM","BTB-SM0-6-2V200","1","Farnell","1095877","",""
"CON4","USB Type A RA TH","TE CONNECTIVITY / AMP  292303-1  USB, 2.0 TYPE A, PLUG, CABLE","USB Type A RA TH","USBA_FEMAIL","1","Farnell","2506411","",""
"L1, L2","4.7uH","","SRN4018-4R7M","INDP4040X18N","2","Farnell","2408944","Farnell","2408944"
"L4, L5","10mH","Inductor","Inductor","IND0603","2","Farnell","1515716RL","",""
"R34, R35, R36, R37","49.9R","Resistor","49.9R","RES0603","4","Farnell","1469817RL","",""
"R38","10R","Resistor","10R","RES0603","1","Farnell","2614306","",""
"U5","LAN9512","USB 2.0 Hub and 10/100  Ethernet Controller","LAN9512","QFN64","1","Farnell","2292586","",""
"Y1","25MHz","Crystal Oscillator","25MHz","XTAL_small","1","Farnell","1611821","",""
"C15, C19","220pF/3kV","Multilayer ceramic capacitor","220pF/3kV","1206","2","Digi-Key","478-4730-1-ND","",""
"C16, C17","10uF/50V","Multilayer ceramic capacitor","10uF/50V","1206","2","Digi-Key","1276-2876-1-ND","",""
"CON2","Camera","Raspberry Pi camera connector","Camera","1-1734248-5","1","Digi-Key","A101418CT-ND","Mous","571-1-1734248-5"
"L3","10uH","","10uH","1206","1","Digi-Key","490-8413-1-ND","",""
"Q1, Q2, Q3","","N-Channel MOSFET","MOSFET-N","DMG1012T-7","3","Digi-Key","DMG1012T-7DICT-ND","",""
"T1","0826-1L1T-57-F","1 Port RJ45 Magjack Connector Through Hole 10/100 Base-T, AutoMDIX, Power over Ethernet (PoE)","Ethernet RJ45","0826-1L1T-57-F","1","Digi-Key","507-1431-ND","",""
"U3","ITX2409SA","Isolated Board Mount DC/DC Converter, 2:1 Input, Fixed, 1 Output, 18 V, 36 V, 6 W, 9 V","ITX2409SA","DCDC_M1","1","Digi-Key","1470-2544-5-ND","Farnell","2422810"
"U4","SPM15-050-Q12P-C","Isolated Board Mount DC/DC Converter, Medical, Fixed, 1 Output, 9 V, 36 V, 15 W, 5 V","SPM15-050-Q12P-C","DCDC_M2","1","Digi-Key","811-2909-5-ND","",""
"U6","FSUSB42UMX","Bi-directional, low-power, high-speed, USB2.0 (480Mbps) switch","FSUSB42UMX","MO-187","1","Digi-Key","FSUSB42UMXDKR-ND","",""
"C44","1uF","Capacitor","1uF","CAP0603","1","","","",""
"C48, C50","10uF","Capacitor","10uF","CAP0603","2","","","",""
"C5, C18, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C45, C46, C47, C49","100nF","Capacitor","100nF","CAP0603","21","","","",""
"CON3","USB Type A RA TH","TE CONNECTIVITY / AMP  292303-1  USB, 2.0 TYPE A, PLUG, CABLE","USB Type A RA TH","microUSB","1","","","",""
"D1, D2","","Typical INFRARED GaAs LED","LED0","DIODE0603","2","","","",""
"P1","","Header, 3-Pin, Right Angle","Header 3H","HDR1X3H","1","","","",""
"P2","","Header, 2-Pin","Header 2","HDR1X2","1","","","",""
"P3","","Header, 3-Pin, Dual row","Header 3X2A","IDC6","1","","","",""
"P4","","Header, 5-Pin, Dual row","Header 5X2A","IDC10","1","","","",""
"P5","","Header, 15-Pin, Dual row","Header 15X2A","HDR2X15_CEN","1","","","",""
"P6","","Header, 5-Pin, Dual row","Header 5X2A","HDR2X5_CEN","1","","","",""
"R1, R3, R5","0R","Resistor","0R","1206","3","","","",""
"R11, R12, R13, R14","1K8","Resistor","1K8","RES0603","4","","","",""
"R15, R16, R20, R21, R23, R26, R27, R30, R31, R32, R33, R48","0R","Resistor","0R","RES0603","12","","","",""
"R2, R8","470R","Resistor","470R","RES0603","2","","","",""
"R39, R43, R45","10K","Resistor","10K","RES0603","3","","","",""
"R4, R6, R7, R10","100K","Resistor","100K","RES0603","4","","","",""
"R40, R41","1K","Resistor","1K","RES0603","2","","","",""
"R42","12K4","Resistor","12K4","RES0603","1","","","",""
"R44","12K","Resistor","12K","RES0603","1","","","",""
"R9, R46, R47","47K","Resistor","47K","RES0603","3","","","",""
"TP1, TP2, TP4, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP22","","Test point","TEST_POINT","TEST_POINT","18","","","",""
